Race Title,Geelong
Race,Race 1 Geelong
Number,Name,WinPrice,FixedPrice
1(7),Paroodus,4.40,2.20
2(3),Steinbrenner,15.00,5.00
3(2),Last Vein,2.10,1.44
4(6),Private Edition,4.00,2.10
5(1),Sword Of Mercy,6.00,2.75
7(4),Zamello,15.00,5.00
Race,Race 2 Geelong
Number,Name,WinPrice,FixedPrice
1(4),Dhuriaad,41.00,13.00
2(6),Hayley's Storm,51.00,17.00
3(7),Martharaptor,101.00,29.00
5(8),Written In Rouge,4.60,2.10
6(1),Graceful Star,1.70,1.25
7(5),Lisette,4.80,2.10
9(3),Once In A Lifetime,5.50,2.25
Race,Race 3 Geelong
Number,Name,WinPrice,FixedPrice
1(2),Casula Lad,126.00,29.00
2(8),Dastaan,126.00,29.00
3(6),Finnick,3.60,1.73
4(4),Just Gets'em,41.00,12.00
5(5),Strategic Mota,13.00,3.75
7(7),No More Bids,2.60,1.44
8(3),Sikorsky,2.10,1.30
Race,Race 4 Geelong
Number,Name,WinPrice,FixedPrice
1(8),Gherangatang,51.00,7.50
2(6),Invincible King,2.50,1.25
3(3),Kaphark,11.00,2.50
4(4),Orphanali,31.00,5.00
5(2),Posh Pursuit,17.00,3.40
6(5),Rebecca,151.00,21.00
7(7),Wishia,26.00,4.33
8(9),Honorellay,5.50,1.73
9(1),Walk The Talk,2.30,1.22
Race,Race 5 Geelong
Number,Name,WinPrice,FixedPrice
1(3),Reward The Dream,9.50,3.50
2(2),Unshackled,4.20,2.20
4(1),Charlie Garcon,4.00,2.20
6(4),Conga D'oro,3.60,2.00
7(6),Nine Clouds,5.50,2.75
8(5),Charming Miss,6.00,3.00
Race,Race 6 Geelong
Number,Name,WinPrice,FixedPrice
1(5),Exflytations,3.00,1.62
2(2),Pachino Boy,19.00,4.33
3(4),Cool Runnings,34.00,8.50
4(7),Rakti Roulette,13.00,3.50
5(11),Northset,8.00,2.88
6(9),Rebel Rose,6.00,2.25
7(10),Erector,12.00,3.40
8(8),Argyle Belle,12.00,3.40
9(3),Powers Lookout,9.00,3.10
10(6),Pollinator,6.00,2.25
11(1),Countess Delta,17.00,4.00
Race,Race 7 Geelong
Number,Name,WinPrice,FixedPrice
1(3),Ballinaclash,7.00,2.38
2(4),Set The Bar High,9.50,3.10
3(11),Any Given Bender,6.50,2.25
4(7),Atlantic Express,5.50,2.10
5(2),Double Em,10.00,3.10
7(10),Walled City,8.00,2.62
8(1),Chopsticks,15.00,3.75
9(5),Kwatile Fame,41.00,9.00
10(9),Gorokan Express,3.20,1.62
11(6),Yarrayne Lass,21.00,4.50
Race,Race 8 Geelong
Number,Name,WinPrice,FixedPrice
